# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49153.5  1.717E-09  1.735E-07  2.585E-06  0.07  130.
 49154.0  3.097E-10  3.503E-07  3.293E-06  0.04  130.
 49154.5  4.517E-10  2.153E-08  4.924E-07  0.10  130.
 49155.0  4.036E-10  2.200E-09  2.838E-07  0.16  130.
 49155.5  5.756E-10 -8.524E-09  2.637E-07  0.28  130.
 49156.0  1.244E-09 -2.920E-08  3.955E-07  0.53  130.
 49156.5  1.106E-09 -2.694E-08  3.449E-07  0.57  130.
 49157.0  4.584E-10 -1.019E-08  1.782E-07  0.41  130.
 49157.5  2.585E-10 -5.129E-09  1.195E-07  0.32  130.
 49158.0  2.356E-10 -4.871E-09  1.090E-07  0.33  130.
 49158.5  3.135E-10 -7.318E-09  1.262E-07  0.41  130.
 49159.0  1.811E-10 -3.795E-09  8.908E-08  0.31  130.
 49159.5  9.888E-11 -1.630E-09  6.523E-08  0.22  130.
 49160.0  6.754E-11 -8.756E-10  5.579E-08  0.18  130.
 49160.5  5.123E-11 -4.811E-10  4.985E-08  0.16  130.
 49161.0  4.125E-11 -2.598E-10  4.638E-08  0.14  130.
 49161.5  3.445E-11 -1.077E-10  4.369E-08  0.12  130.
 49162.0  3.006E-11 -6.210E-11  4.277E-08  0.12  130.
 49162.5  2.656E-11 -1.404E-11  4.191E-08  0.12  130.
 49163.0  2.322E-11  7.622E-11  4.049E-08  0.11  130.
 49163.5  2.033E-11  1.653E-10  3.920E-08  0.09  130.
 49164.0  1.851E-11  1.754E-10  3.936E-08  0.10  130.
 49164.5  1.661E-11  2.403E-10  3.856E-08  0.08  130.
 49165.0  1.525E-11  2.623E-10  3.870E-08  0.08  130.
 49165.5  1.377E-11  3.103E-10  3.851E-08  0.08  130.
 49166.0  1.283E-11  3.168E-10  3.918E-08  0.08  130.
 49166.5  1.179E-11  3.474E-10  3.949E-08  0.08  130.
 49167.0  1.072E-11  3.952E-10  3.968E-08  0.07  130.
 49167.5  1.022E-11  3.975E-10  4.073E-08  0.08  130.
 49168.0  8.998E-12  4.721E-10  4.072E-08  0.07  130.
