# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49073.0  6.391E-11 -9.776E-09  4.683E-07  0.18  200.
 49073.5  7.101E-11 -1.127E-08  5.462E-07  0.22  200.
 49074.0  7.509E-11 -1.199E-08  5.826E-07  0.22  200.
 49074.5  7.525E-11 -1.171E-08  5.649E-07  0.20  200.
 49075.0  7.392E-11 -1.095E-08  5.180E-07  0.16  200.
 49075.5  7.241E-11 -1.004E-08  4.624E-07  0.12  200.
 49076.0  7.395E-11 -9.761E-09  4.395E-07  0.10  200.
 49076.5  7.812E-11 -9.980E-09  4.429E-07  0.08  200.
 49077.0  8.482E-11 -1.057E-08  4.620E-07  0.08  200.
 49077.5  9.416E-11 -1.152E-08  4.973E-07  0.07  200.
 49078.0  1.071E-10 -1.295E-08  5.534E-07  0.06  200.
 49078.5  1.250E-10 -1.509E-08  6.416E-07  0.06  200.
 49079.0  1.478E-10 -1.742E-08  7.259E-07  0.06  200.
 49079.5  1.847E-10 -2.190E-08  9.100E-07  0.06  200.
 49080.0  2.373E-10 -2.796E-08  1.151E-06  0.06  200.
 49080.5  3.219E-10 -3.777E-08  1.542E-06  0.05  200.
 49081.0  4.702E-10 -5.489E-08  2.220E-06  0.06  200.
 49081.5  7.699E-10 -8.956E-08  3.593E-06  0.05  200.
 49082.0  1.502E-09 -1.748E-07  6.989E-06  0.05  200.
 49082.5  3.776E-09 -4.376E-07  1.735E-05  0.05  200.
 49083.0  7.663E-09 -8.914E-07  3.543E-05  0.05  200.
 49083.5  5.258E-09 -6.121E-07  2.438E-05  0.06  200.
 49084.0  2.132E-09 -2.496E-07  1.002E-05  0.06  200.
 49084.5  1.020E-09 -1.189E-07  4.794E-06  0.05  200.
 49085.0  6.323E-10 -7.415E-08  3.047E-06  0.06  200.
 49085.5  4.730E-10 -5.589E-08  2.353E-06  0.06  200.
 49086.0  4.128E-10 -4.884E-08  2.094E-06  0.06  200.
 49086.5  4.198E-10 -5.020E-08  2.197E-06  0.06  200.
 49087.0  4.945E-10 -5.977E-08  2.657E-06  0.06  200.
 49087.5  6.897E-10 -8.487E-08  3.799E-06  0.07  200.
 49088.0  1.165E-09 -1.442E-07  6.394E-06  0.07  200.
 49088.5  2.607E-09 -3.270E-07  1.429E-05  0.07  200.
 49089.0  6.764E-09 -8.482E-07  3.673E-05  0.07  200.
 49089.5  6.223E-09 -7.017E-07  3.711E-05  0.05  200.
 49090.0  2.001E-09  1.581E-06  6.585E-05  0.01  200.
 49090.5  1.257E-10  1.319E-06  4.330E-05  0.01  220.
 49091.0  8.046E-10 -5.842E-08  6.463E-06  0.03  200.
 49091.5  4.710E-10 -4.783E-08  3.154E-06  0.05  200.
 49092.0  3.184E-10 -3.435E-08  2.003E-06  0.05  200.
 49092.5  2.353E-10 -2.603E-08  1.433E-06  0.05  200.
 49093.0  1.852E-10 -2.082E-08  1.105E-06  0.05  200.
 49093.5  1.528E-10 -1.741E-08  9.017E-07  0.06  200.
 49094.0  1.298E-10 -1.485E-08  7.544E-07  0.06  200.
 49094.5  1.137E-10 -1.308E-08  6.556E-07  0.06  200.
 49095.0  1.021E-10 -1.183E-08  5.864E-07  0.06  200.
 49095.5  9.341E-11 -1.086E-08  5.341E-07  0.06  200.
 49096.0  8.750E-11 -1.027E-08  5.031E-07  0.06  200.
 49096.5  8.325E-11 -9.844E-09  4.802E-07  0.06  200.
 49097.0  8.062E-11 -9.594E-09  4.652E-07  0.07  200.
 49097.5  7.943E-11 -9.536E-09  4.613E-07  0.07  200.
 49098.0  7.950E-11 -9.634E-09  4.658E-07  0.07  200.
 49098.5  8.147E-11 -1.006E-08  4.873E-07  0.08  200.
 49099.0  8.515E-11 -1.074E-08  5.213E-07  0.09  200.
 49099.5  9.202E-11 -1.207E-08  5.923E-07  0.10  200.
 49100.0  1.030E-10 -1.415E-08  6.995E-07  0.12  200.
 49100.5  1.213E-10 -1.771E-08  8.844E-07  0.14  200.
 49101.0  1.510E-10 -2.366E-08  1.197E-06  0.19  200.
 49101.5  1.886E-10 -3.114E-08  1.591E-06  0.23  200.
 49102.0  2.073E-10 -3.398E-08  1.747E-06  0.22  200.
 49102.5  2.048E-10 -3.162E-08  1.647E-06  0.17  200.
 49103.0  1.964E-10 -2.707E-08  1.456E-06  0.12  200.
 49103.5  1.903E-10 -2.105E-08  1.245E-06  0.07  200.
 49104.0  1.993E-10 -1.360E-08  1.184E-06  0.03  200.
 49104.5  2.129E-10  2.116E-08  1.300E-06  0.01  200.
 49105.0 -3.456E-10  1.172E-06 -1.605E-06  0.00  200.
 49105.5  3.515E-10  5.040E-08  1.872E-06  0.01  200.
 49106.0  4.392E-10  3.151E-07  1.792E-06  0.00  200.
 49106.5  1.013E-09 -9.092E-08  4.329E-06  0.03  200.
 49107.0  2.178E-09 -2.238E-07  8.880E-06  0.04  200.
 49107.5  5.663E-09 -5.897E-07  2.261E-05  0.03  200.
 49108.0  6.851E-09 -7.184E-07  2.754E-05  0.04  200.
 49108.5  3.282E-09 -3.450E-07  1.328E-05  0.03  200.
 49109.0  1.424E-09 -1.488E-07  5.743E-06  0.03  200.
 49109.5  8.566E-10 -9.217E-08  3.646E-06  0.04  200.
 49110.0  6.610E-10 -7.209E-08  2.862E-06  0.04  200.
 49110.5  6.421E-10 -7.149E-08  2.858E-06  0.04  200.
 49111.0  7.748E-10 -8.780E-08  3.508E-06  0.05  200.
 49111.5  1.178E-09 -1.352E-07  5.387E-06  0.05  200.
 49112.0  2.376E-09 -2.760E-07  1.101E-05  0.05  200.
 49112.5  6.222E-09 -7.214E-07  2.861E-05  0.05  200.
 49113.0  7.622E-09 -8.834E-07  3.504E-05  0.05  200.
 49113.5  4.542E-09 -5.308E-07  2.119E-05  0.05  200.
 49114.0  1.819E-09 -2.110E-07  8.404E-06  0.05  200.
 49114.5  9.277E-10 -1.097E-07  4.447E-06  0.06  200.
 49115.0  5.830E-10 -7.081E-08  2.941E-06  0.07  200.
 49115.5  4.192E-10 -5.260E-08  2.232E-06  0.08  200.
 49116.0  3.234E-10 -4.149E-08  1.792E-06  0.09  200.
 49116.5  2.587E-10 -3.338E-08  1.455E-06  0.09  200.
 49117.0  2.147E-10 -2.761E-08  1.209E-06  0.09  200.
 49117.5  1.815E-10 -2.302E-08  1.010E-06  0.09  200.
 49118.0  1.534E-10 -1.852E-08  7.976E-07  0.07  200.
 49118.5  1.375E-10 -1.630E-08  7.017E-07  0.07  200.
 49119.0  1.258E-10 -1.452E-08  6.202E-07  0.06  200.
 49119.5  1.188E-10 -1.350E-08  5.749E-07  0.05  200.
 49120.0  1.143E-10 -1.271E-08  5.377E-07  0.05  200.
 49120.5  1.129E-10 -1.238E-08  5.224E-07  0.05  200.
 49121.0  1.143E-10 -1.243E-08  5.245E-07  0.05  200.
 49121.5  1.174E-10 -1.253E-08  5.222E-07  0.04  200.
 49122.0  1.240E-10 -1.310E-08  5.434E-07  0.04  200.
 49122.5  1.336E-10 -1.387E-08  5.678E-07  0.04  200.
 49123.0  1.473E-10 -1.505E-08  6.096E-07  0.03  200.
 49123.5  1.704E-10 -1.760E-08  7.144E-07  0.04  200.
 49124.0  2.013E-10 -2.054E-08  8.228E-07  0.04  200.
 49124.5  2.479E-10 -2.504E-08  9.917E-07  0.03  200.
 49125.0  3.242E-10 -3.239E-08  1.264E-06  0.03  200.
 49125.5  4.579E-10 -4.544E-08  1.757E-06  0.03  200.
 49126.0  7.242E-10 -7.067E-08  2.673E-06  0.03  200.
 49126.5  1.391E-09 -1.364E-07  5.140E-06  0.03  200.
 49127.0  3.406E-09 -3.296E-07  1.225E-05  0.03  200.
 49127.5  6.232E-09 -5.958E-07  2.188E-05  0.03  200.
 49128.0  3.862E-09 -3.745E-07  1.395E-05  0.02  200.
 49128.5  1.687E-09 -1.642E-07  6.135E-06  0.03  200.
 49129.0  1.067E-09 -1.075E-07  4.125E-06  0.03  200.
 49129.5  9.912E-10 -1.026E-07  3.986E-06  0.04  200.
 49130.0  1.304E-09 -1.371E-07  5.330E-06  0.04  200.
 49130.5  2.458E-09 -2.633E-07  1.028E-05  0.04  200.
 49131.0  6.176E-09 -6.564E-07  2.535E-05  0.04  200.
 49131.5  7.807E-09 -8.287E-07  3.190E-05  0.04  200.
 49132.0  4.380E-09 -4.695E-07  1.829E-05  0.04  200.
 49132.5  1.811E-09 -1.975E-07  7.878E-06  0.05  200.
 49133.0  9.323E-10 -1.011E-07  4.094E-06  0.04  200.
 49133.5  5.818E-10 -6.296E-08  2.623E-06  0.05  200.
 49134.0  4.104E-10 -4.409E-08  1.898E-06  0.05  200.
 49134.5  3.139E-10 -3.318E-08  1.499E-06  0.04  200.
 49135.0  2.608E-10 -2.789E-08  1.354E-06  0.05  200.
 49135.5  2.271E-10 -2.411E-08  1.267E-06  0.05  200.
 49136.0  2.135E-10 -2.333E-08  1.351E-06  0.06  200.
 49136.5  2.114E-10 -2.387E-08  1.540E-06  0.06  200.
